"","k1","k2","lambda1","lambda2","mean1","mean2","mean.diff","mean.ratio","std1","std2","std.ratio","skew1","skew2","skew.ratio","kur1","kur2","kur.ratio"
"30",2,10,0.147963425430651,0.852036574569349,13.5168538723604,11.7365853749346,1.7802684974258,1.15168538723604,9.55785903345368,3.71143417378146,2.57524681455295,1.4142135623731,0.632455532033676,2.23606797749979,3,0.6,5
"31",2,10,0.739817127153253,4.26018287284675,2.70337077447208,2.34731707498692,0.35605369948516,1.15168538723604,1.91157180669074,0.742286834756292,2.57524681455295,1.4142135623731,0.632455532033676,2.23606797749979,3,0.6,5
"32",2,10,1.47963425430651,8.52036574569349,1.35168538723604,1.17365853749346,0.17802684974258,1.15168538723604,0.955785903345369,0.371143417378146,2.57524681455295,1.4142135623731,0.632455532033676,2.23606797749979,3,0.6,5
"33",2,20,0.00786438172652479,0.0921356182734752,254.31115497032,217.071316986623,37.2398379836974,1.1715557748516,179.825142210896,48.5386220747493,3.70478465445447,1.4142135623731,0.447213595499958,3.16227766016838,3,0.3,10
"34",2,20,0.0786438172652479,0.921356182734752,25.431115497032,21.7071316986623,3.72398379836974,1.1715557748516,17.9825142210896,4.85386220747493,3.70478465445447,1.4142135623731,0.447213595499958,3.16227766016838,3,0.3,10
"35",2,20,0.39321908632624,4.60678091367376,5.0862230994064,4.34142633973245,0.744796759673948,1.1715557748516,3.59650284421793,0.970772441494986,3.70478465445447,1.4142135623731,0.447213595499958,3.16227766016838,3,0.3,10
"36",2,20,0.786438172652479,9.21356182734752,2.5431115497032,2.17071316986623,0.372398379836974,1.1715557748516,1.79825142210896,0.485386220747493,3.70478465445447,1.4142135623731,0.447213595499958,3.16227766016838,3,0.3,10
"37",5,5,0.0500000000000002,0.0499999999999998,99.9999999999995,100,-9.9475983006414e-13,0.99999999999999,44.7213595499956,44.721359549996,0.99999999999999,0.894427190999916,0.894427190999916,1,1.2,1.2,1
"38",5,5,0.500000000000002,0.499999999999998,9.99999999999995,10,-9.76996261670138e-14,0.99999999999999,4.47213595499956,4.4721359549996,0.99999999999999,0.894427190999916,0.894427190999916,1,1.2,1.2,1
"39",5,5,2.50000000000001,2.49999999999999,1.99999999999999,2.00000000000001,-1.97619698383278e-14,0.99999999999999,0.894427190999912,0.89442719099992,0.99999999999999,0.894427190999916,0.894427190999916,1,1.2,1.2,1
"40",5,5,5.00000000000002,4.99999999999998,0.999999999999995,1,-9.88098491916389e-15,0.99999999999999,0.447213595499956,0.44721359549996,0.99999999999999,0.894427190999916,0.894427190999916,1,1.2,1.2,1
"41",5,10,0.0325751155286314,0.0674248844713686,153.491397309254,148.313194429668,5.17820287958568,1.03491397309254,68.6434396689839,46.9007501453149,1.46358937663689,0.894427190999916,0.632455532033676,1.4142135623731,1.2,0.6,2
"42",5,10,0.325751155286314,0.674248844713686,15.3491397309254,14.8313194429668,0.517820287958568,1.03491397309254,6.86434396689839,4.69007501453149,1.46358937663689,0.894427190999916,0.632455532033676,1.4142135623731,1.2,0.6,2
"43",5,10,1.62875577643157,3.37124422356843,3.06982794618507,2.96626388859336,0.103564057591713,1.03491397309254,1.37286879337968,0.938015002906297,1.46358937663689,0.894427190999916,0.632455532033676,1.4142135623731,1.2,0.6,2
"44",5,10,3.25751155286314,6.74248844713686,1.53491397309254,1.48313194429668,0.0517820287958566,1.03491397309254,0.686434396689839,0.469007501453149,1.46358937663689,0.894427190999916,0.632455532033676,1.4142135623731,1.2,0.6,2
